id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động được escalate lên Senior Engineer. Thông báo cho stakeholder sẽ được thực hiện ngay khi nhận ticket và cập nhật mỗi 30 phút cho đến khi resolve [1].",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Every claim in the answer is fully grounded in the provided context regarding the SLA for ticket P1.,5,The answer directly and fully provides the SLA details for handling P1 tickets.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, detailing both the initial response time and resolution time for P1 tickets.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][2].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund.,5,The answer directly and fully addresses the question by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model answer fully covers all key points from the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the approval process for Level 3 access as outlined in the retrieved context.,5,The answer directly and fully addresses the question by specifying who must approve the granting of Level 3 access.,5,Retrieved: 1/1 expected sources,5,The model answer includes all key points from the expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền. Cụ thể, các ngoại lệ không được hoàn tiền bao gồm sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) và các trường hợp khác như đơn hàng đã áp dụng mã giảm giá đặc biệt hoặc sản phẩm đã được kích hoạt hoặc đăng ký tài khoản [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer accurately states that digital products are non-refundable and mentions some exceptions, but it slightly misrepresents the conditions regarding activated products.",5,The answer directly addresses the question by clearly stating that digital products are not eligible for refunds and providing specific examples.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points from the expected answer regarding the non-refundable nature of digital products.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, người dùng cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding account lockout and the steps to unlock it.,5,The answer directly and fully addresses the question by specifying the number of incorrect login attempts that lead to account lockout and provides information on how to unlock it.,5,Retrieved: 1/1 expected sources,4,The model answer includes the key point about the account being locked after 5 failed login attempts but adds extra information about unlocking the account.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Quy trình escalation trong sự cố P1 diễn ra như sau:

1. **Tiếp nhận**: On-call engineer nhận alert hoặc ticket, xác nhận severity trong 5 phút.
2. **Thông báo**: Gửi thông báo tới Slack #incident-p1 và email incident@company.internal ngay lập tức.
3. **Triage và phân công**: Lead Engineer phân công engineer xử lý trong 10 phút.
4. **Xử lý**: Engineer cập nhật tiến độ lên ticket mỗi 30 phút. Nếu cần hỗ trợ thêm, escalate ngay.
5. **Resolution**: Sau khi khắc phục, viết incident report trong vòng 24 giờ.

Ngoài ra, nếu không có phản hồi trong 10 phút, ticket P1 sẽ tự động escalate lên Senior Engineer [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,The answer accurately reflects the escalation process for P1 incidents as outlined in the retrieved context.,5,"The answer provides a clear and detailed step-by-step process for escalation in a P1 incident, directly addressing the question.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer, including the escalation process and the automatic escalation to a Senior Engineer if there is no response within 10 minutes.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu để cấp quyền hệ thống là ""Access Control SOP"" (Standard Operating Procedure) [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer correctly identifies the document related to the access permission process as the 'Access Control SOP', which is consistent with the provided context.",3,The answer mentions a relevant document but does not specifically define what an Approval Matrix is.,5,Retrieved: 1/1 expected sources,4,The model answer identifies the document as 'Access Control SOP' but does not mention the previous name 'Approval Matrix for System Access'.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần. Team Lead phải phê duyệt lịch remote qua HR Portal. Ngày onsite bắt buộc là Thứ 3 và Thứ 5 theo lịch team [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the conditions for remote work as stated in the retrieved context.,5,The answer directly and fully addresses the question by specifying the maximum number of remote days allowed and the conditions for approval.,5,Retrieved: 1/1 expected sources,5,"The model answer includes all key points from the expected answer, including the remote work limit and the requirement for Team Lead approval.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tài liệu hiện có không đề cập thông tin này.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"The answer does not provide any information about the account lockout policy, which is not mentioned in the retrieved context.",1,The answer does not provide any information about the ERR-403-AUTH error or how to resolve it.,,No expected sources,3,The model answer acknowledges the lack of information but does not mention the potential relation to authentication or suggest contacting IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Tài liệu hiện có không đề cập thông tin này.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer claims that the document does not provide information, which contradicts the detailed refund process and conditions outlined in the context.",2,The answer acknowledges the lack of information but does not provide any relevant details about the process for VIP customers.,5,Retrieved: 1/1 expected sources,2,"The model answer acknowledges the lack of information but does not mention the standard processing time for refunds, which is a key point in the expected answer.",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,ERROR: No module named 'rank_bm25',Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the error message indicating that the 'rank_bm25' module is not found, which is a valid claim.",1,The answer does not address the question about SLA for P1 tickets and instead mentions an unrelated error.,0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],1,The model answer does not provide any information about the SLA for P1 tickets.,variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,ERROR: No module named 'rank_bm25',Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the error message indicating that the 'rank_bm25' module is not found, which is consistent with the context provided.",1,The answer does not address the question about the refund request timeframe and instead contains an error message.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],1,The model answer does not address the question about the refund request timeframe at all.,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,ERROR: No module named 'rank_bm25',"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the error message indicating that the 'rank_bm25' module is not found, which is consistent with the context.",1,The answer is completely off-topic and does not address the question about Level 3 approval.,0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],1,The model answer does not address any of the key points from the expected answer regarding the approval process for Level 3 access.,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,ERROR: No module named 'rank_bm25',"Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer accurately reflects the error message regarding the missing 'rank_bm25' module, which is directly related to the context provided.",1,The answer does not address the question about digital product refunds at all.,0,Retrieved: 0/1 expected sources. Missing: ['policy/refund-v4.pdf'],1,The model answer does not address the question about digital product refunds at all.,variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,ERROR: No module named 'rank_bm25',Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer accurately reflects the error message regarding the missing 'rank_bm25' module, which is directly related to the context provided.",1,The answer is completely off-topic and does not address the question about account lockout after failed login attempts.,0,Retrieved: 0/1 expected sources. Missing: ['support/helpdesk-faq.md'],1,The model answer does not address the question about account lockout after failed login attempts.,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,ERROR: No module named 'rank_bm25',Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the error message indicating that the 'rank_bm25' module is not found, which is a valid claim.",1,The answer provided is unrelated to the question about escalation in P1 incidents.,0,Retrieved: 0/1 expected sources. Missing: ['support/sla-p1-2026.pdf'],1,The model answer does not address the escalation process for P1 incidents at all.,variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,ERROR: No module named 'rank_bm25',Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the error message indicating that the 'rank_bm25' module is not found, which is consistent with the context provided.",1,The answer does not address the question about the Approval Matrix for system permissions.,0,Retrieved: 0/1 expected sources. Missing: ['it/access-control-sop.md'],1,The model answer does not address the question about the Approval Matrix and fails to mention the new name 'Access Control SOP'.,variant_hybrid_rerank
